scenario,scenario_label,relative_path,source_path,size_bytes,sha256,package_storage,duplicate_of,zip_valid,gtfs_tables_present,agency.txt_rows_including_header,routes.txt_rows_including_header,stops.txt_rows_including_header,trips.txt_rows_including_header,stop_times.txt_rows_including_header,calendar.txt_rows_including_header,calendar_dates.txt_rows_including_header,shapes.txt_rows_including_header,notes
S1,1925 trams and trains,data/scenario_gtfs/S1_1925_tram_train/1925_Train_gtfs.zip,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S1/1925_Train_gtfs.zip,207065,57b3969a87f3f39165abd5fe5aa2742027d2e54f059a3f3cbb9a55e587cbce82,copied_zip,,yes,agency.txt; routes.txt; stops.txt; trips.txt; stop_times.txt; calendar.txt; calendar_dates.txt; shapes.txt,2,11,135,141,3249,3,1,11554,Scenario 1 train GTFS.
S1,1925 trams and trains,data/scenario_gtfs/S1_1925_tram_train/1925_Tram_gtfs.zip,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S1/1925_Tram_gtfs.zip,664341,e116ad4f812b2764c16c2e551d1c07117a1e2e8003049a8818fc333532ef6a4a,copied_zip,,yes,agency.txt; routes.txt; stops.txt; trips.txt; stop_times.txt; calendar.txt; calendar_dates.txt; shapes.txt,2,62,1121,2281,85615,3,1,9109,Scenario 1 tram GTFS.
S2,2020 transit,data/scenario_gtfs/S2_2020_transit/2020gtfs.zip,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S2-2020GTFS/2020gtfs.zip,207463584,16faada2013839d23ceb1d0b9a0ab69902fecccffb6267cb813821387882b35a,copied_zip,,yes,agency.txt; routes.txt; stops.txt; trips.txt; stop_times.txt; calendar.txt; calendar_dates.txt; shapes.txt,148,7022,48428,195357,5416298,3446,65612,8756249,Scenario 2 full 2020 transit GTFS. This file is about 198 MB and requires Git LFS or a release asset for GitHub upload.
S3,1925 train only,data/scenario_gtfs/S3_1925_train_only/1925_Train_gtfs.zip.pointer.md,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S3/1925_Train_gtfs.zip,207065,57b3969a87f3f39165abd5fe5aa2742027d2e54f059a3f3cbb9a55e587cbce82,deduplicated_pointer,data/scenario_gtfs/S1_1925_tram_train/1925_Train_gtfs.zip,not_retested_pointer,see_duplicate_target,,,,,,,,,Byte-identical to S1 train GTFS; stored as pointer to avoid duplicate binary upload.
S4,2020 transit excluding buses,data/scenario_gtfs/S4_2020_no_buses/2020_excludeBuses_gtfs.zip,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S4-Tram_Train/2020_excludeBuses_gtfs.zip,13084135,5d63558f5abf784ea953119982a5c950226e79199a423161c0887947a352f9e1,copied_zip,,yes,agency.txt; routes.txt; stops.txt; trips.txt; stop_times.txt; calendar.txt; calendar_dates.txt; shapes.txt,3,11,693,40426,685821,103,2721,439253,Scenario 4 2020 rail/light-rail GTFS excluding buses.
S5,2020 excluding buses plus 1925 trams,data/scenario_gtfs/S5_2020_no_buses_plus_1925_trams/1925_Tram_gtfs.zip,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S5/1925_Tram_gtfs.zip,664494,fc6ac387748a534d92b119c0e23716ac7ee9a3b860abd568979a39053952c0b2,copied_zip,,yes,agency.txt; routes.txt; stops.txt; trips.txt; stop_times.txt; calendar.txt; calendar_dates.txt; shapes.txt,2,62,1121,2281,85615,3,1,9109,Scenario 5 tram GTFS. Not byte-identical to S1 tram GTFS.
S5,2020 excluding buses plus 1925 trams,data/scenario_gtfs/S5_2020_no_buses_plus_1925_trams/2020_excludeBuses_gtfs.zip,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S5/2020_excludeBuses_gtfs.zip,13083412,3d674d8c723322153a33cd3b16f915eee0ac5e7c94f0ecbe781e64afd975bb81,copied_zip,,yes,agency.txt; routes.txt; stops.txt; trips.txt; stop_times.txt; calendar.txt; calendar_dates.txt; shapes.txt,3,11,693,40426,685821,103,2721,439253,Scenario 5 2020 rail/light-rail GTFS excluding buses. Not byte-identical to S4.
S6,2020 transit plus 1925 trams,data/scenario_gtfs/S6_2020_transit_plus_1925_trams/1925_Tram_gtfs.zip.pointer.md,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S6/1925_Tram_gtfs.zip,664341,e116ad4f812b2764c16c2e551d1c07117a1e2e8003049a8818fc333532ef6a4a,deduplicated_pointer,data/scenario_gtfs/S1_1925_tram_train/1925_Tram_gtfs.zip,not_retested_pointer,see_duplicate_target,,,,,,,,,Byte-identical to S1 tram GTFS; stored as pointer to avoid duplicate binary upload.
S6,2020 transit plus 1925 trams,data/scenario_gtfs/S6_2020_transit_plus_1925_trams/2020gtfs.zip.pointer.md,/Users/dlev2617/Sydney Uni Dropbox/David Levinson/Data/InSearchOfLostTrams_GTFS_toShare/S6/2020gtfs.zip,207463584,16faada2013839d23ceb1d0b9a0ab69902fecccffb6267cb813821387882b35a,deduplicated_pointer,data/scenario_gtfs/S2_2020_transit/2020gtfs.zip,not_retested_pointer,see_duplicate_target,,,,,,,,,Byte-identical to S2 2020 GTFS; stored as pointer to avoid duplicate 198 MB upload.
